"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae",0,0,0,2.73377,0,0.13286,0,0,0,0,3.06937,0,0,0,1.95719,0,0,0,0,0,0,1.35888,0,0,0,0,0,0,3.06574,0,0,0,0,0,0,0,0,0,0,0,0.15853,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae",0.04876,0.01516,0.15205,0.04343,0.04911,0.0265,0.10965,0.05104,0.05854,0.00207,0.02711,0.29889,0.08746,0.01795,0.31526,0.04263,0.01534,0.07384,0.25127,0.04657,0.2164,0.06184,0.76004,0.06527,0.00555,0.05583,0.06003,0.05716,0.0804,1.51642,0.28362,0.03777,0.95268,0.01085,0.05718,0.0712,0.02249,0.01987,0.24697,0.03373,0.46495,0.39096
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae",13.4303,20.80186,41.55597,5.60031,8.7281,3.97302,0.36552,0.03116,0.03735,0.88592,4.52722,0.04052,1.48126,12.15493,0.80403,3.12921,14.78876,1.24113,11.90523,26.55692,0.28664,0.30505,0.01994,2.48935,11.55055,12.4667,0,0.01072,0.40044,14.4751,5.69482,10.4102,4.02726,10.92734,0.38714,0.90011,16.85033,6.81613,6.70893,5.90216,6.24853,8.42016
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae",0,0,0.00456,0.00279,0.00067,0.00089,0,0,0.00184,0,0,0.00804,0.00194,0.0011,0,0,0.00062,0.00025,0.00258,0.00263,0.00158,0.00051,0.02478,0,0,6e-05,0.00318,0,0,0.00897,0.00346,0.00704,0,0,0.00272,0,0,0,0.00018,0,0,0.009
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae",0.00566,0,0.00081,0.01061,0.03516,0.00666,0.08885,0.23159,0.00121,0,0,0.02204,0,0,0.01581,0.00162,0.00197,2e-04,0.03062,0.00113,0,0,0.01016,0.00067,0,0.00287,0,0,0,0.06987,0.01656,0,0.01171,0.00023,0.03355,0.09375,0,0,0.0357,0.00211,0.07939,0.00543
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae",0,0,0,0,0.00275,0,0.00153,0,0,0,0,0,0,0.00613,0,0,0,0,0.00185,0.00187,0.0078,0,0.01261,0,0,0,0.00192,0,0,0.0097,0.00721,5e-04,0,0,0,0.02344,0,0,5e-04,0,0.00187,0.00014
"k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02691,0.6231,0,0.06937,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.23193,0,1.3622,0,0,0.07113,1.53234,0.2605,0,0,0.48319,0
"k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992",0,0,0,0.25977,0,0.22663,0,0,0,0.06058,0,0,0,2.85849,0.01901,1.10688,0,0.0605,0,0,0,0,0,0,0,0,0,0,0,0.00279,0.00123,0,0,0,0,0,0,0,0,0,0.24119,0
"k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156|f__FGB77156",0,0,0,0.0731,0,0.00969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988",0,0,0,0,0,0,0,0,0,0.05941,0,0,0,2.06006,0,0,0.18435,0,0,0.60041,0,0,0,0,0,0,0,0,0.3597,0.29823,0.02087,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae",0,0,0.00696,0,0.00189,0,9e-04,0,0.00271,0,0,0.03347,0.00029,0.00209,0.55406,0.00035,0.67014,0.00137,0.00514,0.12916,0.00943,0.00059,0.01046,0.01504,0,0.00039,0.00013,0.04808,0,0.031,0.01074,0,0.04583,0,0.00026,0.00413,0.38624,0.23383,0.02315,0,0.02925,0.01425
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae",3.65028,0,2.05554,0.38058,0.00181,0.89858,1.4369,3.07128,5.5404,0.24736,5.78708,4.20781,0.80958,0.34542,1.74859,1.01228,0.96866,0.71721,0.0364,0.98617,0.8905,3.24925,0,5.11654,4.49071,9.43535,0,0.04085,1.48548,6.82151,0.99227,0,1.96838,0.2576,0.06081,2.89619,0.55047,0.18914,0.76894,5.31215,0.64739,2.41094
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae",1.66502,4.07325,0.45041,0.72602,1.5177,1.0854,0.58561,0.15494,0.19183,0.36952,1.08778,0.20568,0.30611,2.20497,0.2945,1.00869,1.11092,0.41353,0.67201,1.45287,0.57918,1.10403,0.10791,0.47281,0.34268,1.11086,1.14227,0.43129,0.84365,1.47922,0.73485,1.60353,0.0792,2.58992,1.27358,0.23657,0.43906,0.26331,0.15385,5.64047,0.13743,3.58566
"k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified",0.01012,0.00102,0,0.01035,0.00638,0.00464,0.03573,0.03314,0.02122,0.00788,0.00924,0,0,0.00774,0.00865,0,0,0,0.02315,0,0.0666,0.0074,0,0.01142,0,0,0,0,0.03187,0,0.00543,0.00104,0,0.00219,0.03111,0,0.01361,0.01642,0,0.03221,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae",0.91021,0.81742,0,0.46553,1.99573,0.19059,8.41815,6.95593,0.60355,16.38021,0.23914,0.422,21.62359,4.51103,0.59857,0.63431,3.23594,0.17677,1.46944,0.83351,0.62229,0.31745,0.30965,39.26414,4.14821,1.09851,3.80797,34.45434,2.95229,0.13281,1.2456,0.13436,0.09531,5.11187,4.10894,0.06202,1.41543,2.31386,0.68058,3.07741,0.03507,0.22779
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae",0.00725,0.00501,0,0,0.05166,0,0,0,0,0.0814,0.00047,0,0.18902,0.01916,0,0.10031,0.06753,0.00452,0.00188,0.07707,0.00905,0,0,0,0.04854,0.01437,0,0,0.07483,0,0,0,0,0.30327,0.05344,0,0,0,0,0.09056,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae",0.07126,0.00036,0,0.00489,0.00921,0.00022,0.05169,0.01728,0,2.16497,0.01784,0,0.05583,0.45052,0.01678,0.00775,0.21289,0,0,0.03043,0,0.00445,0,0,0.01969,0.01662,0,0.00355,0.08073,0.00733,0.52727,0,0,0.15391,0.01905,0,0,0.02255,0.0257,0.08946,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae",0,0.00017,0,0.35577,0,0,0,0,0.0029,0.05578,2.83649,0,2.82487,0.01742,0.00132,0,0.56441,0,0,0.00545,0,0.5638,0.00203,0,0.68854,0,0,0,0.35841,0.2243,0.19409,0,1.69937,0,0,0,0.34357,1.93504,0,0,0.00055,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae",0.55989,0.00745,0.00326,0.64304,0,0.11693,10.48004,14.09116,0.3901,0.05454,0.48359,0.03534,5.04763,0.9868,0.18588,6.0903,1.22285,4.76287,0.00272,0.13078,0.01502,0.55754,0.00085,5.7426,0,0,0,2.68654,0.33816,0.16385,5.1797,0,1.73707,0.0305,0.4278,0.03187,0,0,0.07333,6.88768,20.71038,0.02542
