"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter",0,0,0,1.98338,0,0.10165,0,0,0,0,2.26785,0,0,0,1.71584,0,0,0,0,0,0,1.35888,0,0,0,0,0,0,1.99205,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera",0,0,0,0.75039,0,0.03121,0,0,0,0,0.80152,0,0,0,0.24136,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07369,0,0,0,0,0,0,0,0,0,0,0,0.15853,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0.01137,0,0.01004,0,0,0,0.00188,0.00815,0,0,0,0.00183,0.00016,0,0,0,0,0.00122,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces",0.00152,0.01348,0.10436,0.00913,0.04334,0.00438,0.06066,0.02619,0.05395,0.00103,0.01909,0.23303,0.0386,0.00696,0.13889,0.00249,0,0.05042,0.11454,0.01459,0.13107,0.04537,0.29192,0.05915,0.00049,0.01258,0.02888,0,0.01327,0.94007,0.17928,0.03672,0.1817,0.00268,0.01278,0.03767,0.02107,0.01949,0.1173,0.00102,0.23204,0.21639
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__GGB9832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0,0,0,0,0,0,4e-05,0,0,0.05255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus",0,0,0,0,0,0,0,0,0,0,0,0,0.00435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia",0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.00058,0,0,0,0.00753,0,0.02231,0,0.00015,0.00037,0,0,0,0,0,0.01494,0.00368,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga",0,0,0.00031,0,0,0,0,0,0,0,0,0,0.0139,0.00597,0,0,0,0,0,0,0,0,0.00033,0,0,0.00159,0,0,0,0.01011,0.00723,0,0.00418,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia",0.04724,0.00168,0.04737,0.03431,0.00576,0.02212,0.04899,0.02485,0.00459,0.00104,0.00802,0.06586,0.02903,0.00461,0.17579,0.04014,0.01074,0.02342,0.09748,0.03198,0.05298,0.01647,0.46764,0.00574,0.00314,0.0335,0.03116,0.00461,0.06554,0.54946,0.09326,0.00105,0.7668,0.00817,0.04439,0.03231,0.00142,0.00037,0.12967,0.03271,0.23291,0.17457
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia",0,0,0.00068,0,0,0.00061,0,0,0.00645,0,0,0.0079,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02714,0.00024,0,0.00095,0,0,0,0,0,0.02895,0,1e-04,0
